NR;SCOPEID;URI;STRAATNAAM
1;61312150;https://adamlink.nl/geo/street/aaf-bouberstraat/4;Aaf Bouberstraat
2;61308515;https://adamlink.nl/geo/street/aakstraat/7;Aakstraat
3;61310016;https://adamlink.nl/geo/street/aakstraat/7;Aakstraat
4;61310473;https://adamlink.nl/geo/street/aakstraat/7;Aakstraat
5;61310474;https://adamlink.nl/geo/street/aakstraat/7;Aakstraat
6;61301846;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
7;61305714;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
8;61309635;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
9;61280860;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
10;61302491;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
11;61308514;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
12;61311029;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
13;61311401;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
14;61311763;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
15;61311785;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
16;61311786;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
17;61287116;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
18;61287652;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
19;61287660;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
20;61288240;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
21;61288249;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
22;61288618;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
23;61288630;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
24;61289131;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
25;61290456;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
26;61290474;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
27;61291565;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
28;61295278;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
29;61295520;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
30;61295607;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
31;61300073;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
32;61300925;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
33;61307538;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
34;61308485;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
35;61311153;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
36;61312655;https://adamlink.nl/geo/street/aalbersestraat/8;Aalbersestraat
37;61293532;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
38;61280496;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
39;61282273;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
40;61283203;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
41;61283517;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
42;61292860;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
43;61293530;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
44;61295768;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
45;61295771;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
46;61295811;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
47;61295812;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
48;61302239;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
49;61302520;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
50;61305716;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
51;61306392;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
52;61310241;https://adamlink.nl/geo/street/aalsmeerplein/9;Aalsmeerplein
53;61280496;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
54;61283703;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
55;61281806;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
56;61281838;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
57;61281877;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
58;61281920;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
59;61281943;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
60;61281999;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
61;61285087;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
62;61288629;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
63;61288654;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
64;61290386;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
65;61290715;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
66;61291881;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
67;61292141;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
68;61293532;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
69;61293540;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
70;61298724;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
71;61302197;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
72;61306887;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
73;61312677;https://adamlink.nl/geo/street/aalsmeerweg/10;Aalsmeerweg
74;61279435;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
75;61279657;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
76;61279659;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
77;61280014;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
78;61280030;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
79;61280098;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
80;61280443;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
81;61300641;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
82;61302149;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
83;61302150;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
84;61309569;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
85;61277559;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
86;61279428;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
87;61285237;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
88;61286519;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
89;61286606;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
90;61286822;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
91;61287120;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
92;61287121;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
93;61287359;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
94;61287384;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
95;61290292;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
96;61290294;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
97;61290295;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
98;61290308;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
99;61291654;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
100;61300011;https://adamlink.nl/geo/street/aambeeldstraat/11;Aambeeldstraat
101;61280496;https://adamlink.nl/geo/street/abbenesstraat/18;Abbenesstraat
102;61302239;https://adamlink.nl/geo/street/abbenesstraat/18;Abbenesstraat
103;61296800;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
104;61300519;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
105;61301346;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
106;61303422;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
107;61303637;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
108;61303641;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
109;61303644;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
110;61303661;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
111;61304092;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
112;61304104;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
113;61304107;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
114;61304108;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
115;61304112;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
116;61304113;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
117;61305970;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
118;61306550;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
119;61306551;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
120;61306552;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
121;61306553;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
122;61307478;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
123;61307479;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
124;61299844;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
125;61299089;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
126;61299100;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
127;61299908;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
128;61300751;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
129;61300832;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
130;61303622;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
131;61304091;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
132;61304106;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
133;61305419;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
134;61305971;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
135;61306998;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
136;61307482;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
137;61307483;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
138;61310946;https://adamlink.nl/geo/street/abcouderstraatweg/22;Abcouderstraatweg
139;61296535;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
140;61296762;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
141;61299869;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
142;61309788;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
143;61312184;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
144;61313510;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
145;61313511;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
146;61313580;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
147;61293055;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
148;61293784;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
149;61295420;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
150;61295421;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
151;61295864;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
152;61296051;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
153;61296322;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
154;61303140;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
155;61304016;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
156;61310864;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
157;61311045;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
158;61312251;https://adamlink.nl/geo/street/abraham-kuyperlaan/26;Abraham Kuyperlaan
159;61296227;https://adamlink.nl/geo/street/abraham-staalmanplein/28;Abraham Staalmanplein
160;61307538;https://adamlink.nl/geo/street/abraham-van-der-hartstraat/29;Abraham van der Hartstraat
161;61310246;https://adamlink.nl/geo/street/abraham-van-der-hartstraat/29;Abraham van der Hartstraat
162;61288167;https://adamlink.nl/geo/street/abraham-van-der-hartstraat/29;Abraham van der Hartstraat
163;61287885;https://adamlink.nl/geo/street/abraham-van-der-hartstraat/29;Abraham van der Hartstraat
164;61293785;https://adamlink.nl/geo/street/abraham-van-der-hartstraat/29;Abraham van der Hartstraat
165;61303085;https://adamlink.nl/geo/street/abram-dudok-van-heelstraat/30;Abram Dudok van Heelstraat
166;61306475;https://adamlink.nl/geo/street/abram-dudok-van-heelstraat/30;Abram Dudok van Heelstraat
167;61287591;https://adamlink.nl/geo/street/abram-dudok-van-heelstraat/30;Abram Dudok van Heelstraat
168;61287973;https://adamlink.nl/geo/street/abram-dudok-van-heelstraat/30;Abram Dudok van Heelstraat
169;61284017;https://adamlink.nl/geo/street/abrikozenstraat/31;Abrikozenstraat
170;61289703;https://adamlink.nl/geo/street/abrikozenstraat/31;Abrikozenstraat
171;61292143;https://adamlink.nl/geo/street/abrikozenstraat/31;Abrikozenstraat
172;61303296;https://adamlink.nl/geo/street/abrikozenstraat/31;Abrikozenstraat
173;61311878;https://adamlink.nl/geo/street/accumulatorweg/33;Accumulatorweg
