TERM,URI,AATLABEL
Brug,http://vocab.getty.edu/aat/300007836,bruggen
Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203,speelplaatsen
Riolering,http://vocab.getty.edu/aat/300006122,riolen
School,http://vocab.getty.edu/aat/300006495,scholen
Beplanting,http://vocab.getty.edu/aat/300266061,vegetatie
Voorgevel,http://vocab.getty.edu/aat/300002526,façades
Walmuur,http://vocab.getty.edu/aat/300404856,dokken
Oevervoorziening,http://vocab.getty.edu/aat/300404856,dokken
Schiphol,http://vocab.getty.edu/aat/300000681,luchthaven
Gemaal,http://vocab.getty.edu/aat/300006187,pompinstallaties
Sportpark,http://vocab.getty.edu/aat/300170875,sportvelden
Artis,http://vocab.getty.edu/aat/300000348,dierentuinen
Noodschool,http://vocab.getty.edu/aat/300006495,scholen
Transformatorhuisje,http://vocab.getty.edu/aat/300006443,elektrische onderstations
Metrostation,http://vocab.getty.edu/aat/300007780,metrostations
Steiger,http://vocab.getty.edu/aat/300404856,dokken
Kademuur,http://vocab.getty.edu/aat/300404856,dokken
Politiebureau,http://vocab.getty.edu/aat/300006049,politiebureaus
Binnengasthuis,http://vocab.getty.edu/aat/300006676,ziekenhuizen
G.E.B.,http://vocab.getty.edu/aat/300000414,krachtcentrales
